l1,l2,local_alignment,comparison_count
pt,ar,0.28757076499265616,1239
fa,es,0.2877846929695126,1025
de,es,0.28864391599449774,578
hu,bg,0.2886727260955493,1355
fi,en,0.28901813094966283,1106
nl,en,0.2891306419576197,1097
et,de,0.2899063509658187,539
fi,et,0.29000989548098466,1260
fa,sk,0.29028872990842736,1033
ru,tr,0.29036410664445095,1157
pl,de,0.29073959686546336,518
fa,hr,0.29103258076522454,1106
hu,sk,0.2912372514043004,1324
cs,it,0.2913034070991,1132
et,ar,0.29163815866126314,1159
ru,de,0.29234347764230206,515
sv,de,0.292377433776954,548
hu,en,0.29276237454662285,1154
cs,sv,0.29317567449279974,1163
el,he,0.2935177931095988,1079
fa,tr,0.2937040344406251,1071
fa,bg,0.2939857186353013,1052
fi,de,0.29399772638115584,583
hu,pl,0.2940912736815287,1258
fa,en,0.2942578877260704,863
et,pl,0.2947079209163288,1126
pl,en,0.2947942176626911,1017
fi,hr,0.2951704169299515,1345
hu,hr,0.2952772381185764,1397
el,sv,0.29584064364423773,1161
fi,ru,0.2967959274079694,1178
el,nl,0.2970410131507185,1220
tr,ar,0.2971496777490682,1227
es,pt,0.2973594991691662,1389
en,es,0.2980784144256778,1091
fa,ru,0.2982509260342778,916
et,ru,0.29838607185762406,1095
fi,pl,0.29872185029794546,1217
de,nl,0.29923064623909224,597
cs,pt,0.2992886779306982,1241
sk,es,0.29953381305874527,1238
ru,en,0.2998754691504448,976
fa,pl,0.2999721018793017,973
et,el,0.30031826033178444,1150
hu,ru,0.3004386408232387,1232
hu,es,0.3008855820153833,1386
de,en,0.30170204279718293,482
bg,en,0.30190665692602453,1090
cs,he,0.30280543724936954,1071
sk,de,0.30280914113326585,545
fi,ar,0.3029195769778708,1243
pl,es,0.30343713644864634,1205
cs,tr,0.3041538667059636,1214
el,pt,0.30465495806056014,1249
bg,es,0.3051008463919547,1281
hu,de,0.30543385463540484,637
el,hr,0.3065021012300683,1231
el,tr,0.3075013781991505,1213
sk,ar,0.30867968707523863,1171
fi,el,0.30940543424823574,1235
hu,ar,0.30994422179427156,1310
hu,el,0.3101465955720846,1292
bg,de,0.3101788477842134,563
es,ar,0.3102122643983266,1239
fa,el,0.3106095594097721,976
el,de,0.31116851733447465,538
hr,ar,0.31266590193000365,1260
ar,he,0.31369880725577887,1102
et,cs,0.3138419894807666,1146
hu,cs,0.3143696942157935,1284
fa,cs,0.31473740254991317,997
en,ar,0.3150912022029773,1021
fi,cs,0.31516342841896083,1232
el,es,0.31537620035621583,1232
bg,sk,0.31574581625811865,1270
hr,pl,0.31678563795663484,1275
bg,pl,0.31714628726949695,1230
bg,ar,0.3188213158239552,1204
cs,en,0.3195410789781278,1023
ru,es,0.31987348888290784,1159
ru,ar,0.3201209528679749,1099
pl,ar,0.32033409963643317,1135
hr,sk,0.32049275054313575,1331
el,ar,0.3215212378698057,1156
el,sk,0.3225111891637918,1176
fa,ar,0.32278295732698625,981
el,en,0.32308938902402545,1038
bg,hr,0.32356527856055656,1371
bg,ru,0.3319603420356594,1153
cs,de,0.3320382719751943,525
cs,es,0.33393026837164597,1205
el,pl,0.33508543105209204,1128
bg,cs,0.3353707329483098,1243
sk,ru,0.3374018989765641,1112
sk,pl,0.337816547123933,1185
el,bg,0.33788549954825514,1205
hr,ru,0.339136610827534,1187
cs,ar,0.34096359703375023,1134
el,ru,0.344658435438777,1090
hr,cs,0.35093192863939227,1284
el,cs,0.36251369571981734,1132
cs,pl,0.36526356586699293,1159
pl,ru,0.36772801481975537,1079
cs,ru,0.3790250737814808,1081
sk,cs,0.3886340787529827,1242
