,Unnamed: 0,l1,l2,numColexified,numMatchingColexified,n_overlapConcepts,n_overlapConceptPairs,l1_iso2,l2_iso2
1018,1018,stan1288,icel1247,17,451579,951,451725,es,is
1019,1019,stan1288,norw1258,12,450624,950,450775,es,no
1020,1020,stan1288,nucl1301,21,451529,951,451725,es,tr
1021,1021,stan1288,kaza1248,11,451546,951,451725,es,kk
1022,1022,stan1288,bash1264,24,451524,951,451725,es,ba
1023,1023,stan1288,tata1255,18,451519,951,451725,es,tt
1024,1024,stan1288,chuv1255,15,450526,950,450775,es,cv
1025,1025,stan1288,yaku1245,23,451465,951,451725,es,sah
1026,1026,stan1288,kalm1243,16,450593,950,450775,es,xal
1027,1027,stan1288,kore1280,11,442128,941,442270,es,ko
1028,1028,stan1288,nucl1643,16,451523,951,451725,es,ja
1029,1029,stan1288,nucl1305,13,451579,951,451725,es,kn
1030,1030,stan1288,mala1464,15,451592,951,451725,es,ml
1031,1031,stan1288,nucl1302,10,451586,951,451725,es,ka
1032,1032,stan1288,abkh1244,16,432698,931,432915,es,ab
1033,1033,stan1288,hebr1245,15,451574,951,451725,es,he
1034,1034,stan1288,mand1415,17,446801,946,446985,es,zh
1035,1035,stan1289,port1283,43,451595,951,451725,ca,pt
1036,1036,stan1289,roma1327,34,451561,951,451725,ca,ro
1037,1037,stan1289,iris1253,26,449550,949,449826,ca,ga
1038,1038,stan1289,wels1247,27,451541,951,451725,ca,cy
1039,1039,stan1289,bret1244,25,438334,937,438516,ca,br
1040,1040,stan1289,dani1285,19,450627,950,450775,ca,da
1041,1041,stan1289,swed1254,15,451580,951,451725,ca,sv
1042,1042,stan1289,stan1293,9,451560,951,451725,ca,en
1043,1043,stan1289,dutc1256,18,451571,951,451725,ca,nl
1044,1044,stan1289,stan1295,14,451609,951,451725,ca,de
1045,1045,stan1289,lith1251,23,451567,951,451725,ca,lt
1046,1046,stan1289,latv1249,20,451598,951,451725,ca,lv
1047,1047,stan1289,bulg1262,23,449664,949,449826,ca,bg
1048,1048,stan1289,czec1258,18,451598,951,451725,ca,cs
1049,1049,stan1289,poli1260,23,451587,951,451725,ca,pl
1050,1050,stan1289,russ1263,12,451605,951,451725,ca,ru
1051,1051,stan1289,west2369,21,451541,951,451725,ca,fa
1052,1052,stan1289,basq1248,26,451537,951,451725,ca,eu
1053,1053,stan1289,beng1280,7,451539,951,451725,ca,bn
1054,1054,stan1289,tami1289,12,451583,951,451725,ca,ta
1055,1055,stan1289,telu1262,21,451497,951,451725,ca,te
1056,1056,stan1289,veps1250,23,451560,951,451725,ca,vep
1057,1057,stan1289,west2392,24,447740,947,447931,ca,mrj
1058,1058,stan1289,moks1248,20,450571,950,450775,ca,mdf
1059,1059,stan1289,nort2641,16,451533,951,451725,ca,ku
1060,1060,stan1289,nucl1235,9,450642,950,450775,ca,hy
1061,1061,stan1289,croa1245,10,450634,950,450775,ca,hr
1062,1062,stan1289,slov1268,7,450662,950,450775,ca,sl
1063,1063,stan1289,slov1269,19,451600,951,451725,ca,sk
1064,1064,stan1289,ukra1253,7,451616,951,451725,ca,uk
1065,1065,stan1289,bela1254,8,451616,951,451725,ca,be
1066,1066,stan1289,icel1247,12,451584,951,451725,ca,is
1067,1067,stan1289,norw1258,13,450639,950,450775,ca,no
1068,1068,stan1289,nucl1301,15,451532,951,451725,ca,tr
1069,1069,stan1289,kaza1248,12,451563,951,451725,ca,kk
1070,1070,stan1289,bash1264,21,451533,951,451725,ca,ba
1071,1071,stan1289,tata1255,19,451536,951,451725,ca,tt
1072,1072,stan1289,chuv1255,13,450537,950,450775,ca,cv
1073,1073,stan1289,yaku1245,19,451472,951,451725,ca,sah
1074,1074,stan1289,kalm1243,12,450600,950,450775,ca,xal
1075,1075,stan1289,kore1280,10,442140,941,442270,ca,ko
1076,1076,stan1289,nucl1643,12,451530,951,451725,ca,ja
1077,1077,stan1289,nucl1305,6,451580,951,451725,ca,kn
1078,1078,stan1289,mala1464,11,451599,951,451725,ca,ml
1079,1079,stan1289,nucl1302,10,451601,951,451725,ca,ka
1080,1080,stan1289,abkh1244,13,432700,931,432915,ca,ab
1081,1081,stan1289,hebr1245,13,451585,951,451725,ca,he
1082,1082,stan1289,mand1415,17,446816,946,446985,ca,zh
1083,1083,port1283,roma1327,42,451553,951,451725,pt,ro
1084,1084,port1283,iris1253,30,449534,949,449826,pt,ga
1085,1085,port1283,wels1247,26,451515,951,451725,pt,cy
1086,1086,port1283,bret1244,30,438316,937,438516,pt,br
