Longitude,Latitude,Time,Precipitation
28.75W,83.75S,Jan 1960,15.94599
26.25W,83.75S,Jan 1960,15.70377
23.75W,83.75S,Jan 1960,15.34759
21.25W,83.75S,Jan 1960,14.75995
18.75W,83.75S,Jan 1960,14.2105
16.25W,83.75S,Jan 1960,13.88192
13.75W,83.75S,Jan 1960,13.55758
11.25W,83.75S,Jan 1960,13.243
8.75W,83.75S,Jan 1960,13.1881
6.25W,83.75S,Jan 1960,13.08342
3.75W,83.75S,Jan 1960,12.84529
1.25W,83.75S,Jan 1960,12.77327
1.25E,81.25S,Jan 1960,14.28433
3.75E,81.25S,Jan 1960,13.7545
6.25E,81.25S,Jan 1960,13.05508
8.75E,81.25S,Jan 1960,12.42848
11.25E,81.25S,Jan 1960,11.73677
13.75E,81.25S,Jan 1960,10.81954
16.25E,81.25S,Jan 1960,9.837944
18.75E,81.25S,Jan 1960,9.112255
21.25E,81.25S,Jan 1960,8.637939
23.75E,81.25S,Jan 1960,8.232155
26.25E,81.25S,Jan 1960,7.753682
28.75E,81.25S,Jan 1960,7.263435
31.25E,81.25S,Jan 1960,6.949099
33.75E,81.25S,Jan 1960,6.886229
36.25E,81.25S,Jan 1960,7.039078
38.75E,81.25S,Jan 1960,7.157438
41.25E,81.25S,Jan 1960,7.03621
43.75E,81.25S,Jan 1960,6.885297
46.25E,81.25S,Jan 1960,6.84503
48.75E,81.25S,Jan 1960,6.756838
51.25E,81.25S,Jan 1960,6.45159
53.75E,81.25S,Jan 1960,5.956819
56.25E,81.25S,Jan 1960,5.50155
58.75E,81.25S,Jan 1960,5.196835
61.25E,81.25S,Jan 1960,5.01236
63.75E,81.25S,Jan 1960,4.877179
66.25E,81.25S,Jan 1960,4.692419
68.75E,81.25S,Jan 1960,4.465905
71.25E,81.25S,Jan 1960,4.311055
73.75E,81.25S,Jan 1960,4.293428
76.25E,81.25S,Jan 1960,4.329655
78.75E,81.25S,Jan 1960,4.324082
81.25E,81.25S,Jan 1960,4.291717
83.75E,81.25S,Jan 1960,4.211365
86.25E,81.25S,Jan 1960,4.149293
88.75E,81.25S,Jan 1960,4.240077
91.25E,81.25S,Jan 1960,4.334393
93.75E,81.25S,Jan 1960,4.286226
96.25E,81.25S,Jan 1960,4.187268
98.75E,81.25S,Jan 1960,4.140034
101.25E,81.25S,Jan 1960,4.158228
103.75E,81.25S,Jan 1960,4.175037
106.25E,81.25S,Jan 1960,4.225923
108.75E,81.25S,Jan 1960,4.399511
111.25E,81.25S,Jan 1960,4.577639
