language,word,meaning,corpus,size,genre,word.count,freq.type,states,mean.roc,sd.roc,fpm,lfpm,clfpm,c.rate,word.type
English,Noun,MOUTH,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,99,NA,19,2.78,0.03,0.99,-0.0100503358535013,-2.25258895736968,-0.28969231870229,swadesh.word
English,Noun,NAME,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,326,NA,4,0.47,0.06,3.26,1.18172719537862,-1.06081142613756,-2.59969231870229,swadesh.word
English,Adj.,NARROW,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,54,NA,19,2.89,0.04,0.54,-0.616186139423817,-2.85872476094,-0.17969231870229,swadesh.word
English,Adj.,NEAR,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,44,NA,35,4.86,0.03,0.44,-0.82098055206983,-3.06351917358601,1.79030768129771,swadesh.word
English,Noun,NECK,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,60,NA,21,3.57,0.04,0.6,-0.510825623765991,-2.75336424528217,0.50030768129771,swadesh.word
English,Adj.,NEW,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1154,NA,5,0.6,0.05,11.54,2.44581926107995,0.203280639563775,-2.46969231870229,swadesh.word
English,Noun,NIGHT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,393,NA,6,0.76,0.05,3.93,1.36863942588117,-0.873899195635008,-2.30969231870229,swadesh.word
English,Noun,NOSE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,48,NA,14,1.49,0.03,0.48,-0.7339691750802,-2.97650779659638,-1.57969231870229,swadesh.word
English,Adv.,NOT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,7995,NA,7,0.82,0.04,79.95,4.38140143927996,2.13886281776378,-2.24969231870229,swadesh.word
English,Adj.,OLD,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,648,NA,18,2.53,0.03,6.48,1.86872051036418,-0.373818111151995,-0.53969231870229,swadesh.word
English,Number,ONE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1962,NA,2,0.43,0.14,19.62,2.97654945413722,0.73401083262103906,-2.63969231870229,swadesh.word
English,Adj.,OTHER,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1336,NA,18,2.66,0.03,13.36,2.5922651681085,0.349726546592322,-0.40969231870229,swadesh.word
English,Noun,PERSON,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,290,NA,28,4.81,0.04,2.9,1.06471073699243,-1.17782788452375,1.74030768129771,swadesh.word
English,Verb,TO PLAY,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,386,NA,24,3.18,0.03,3.86,1.35066718347674,-0.891871438039439,0.11030768129771,swadesh.word
English,Verb,TO PULL,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,140,NA,28,4.53,0.03,1.4,0.336472236621213,-1.90606638489497,1.46030768129771,swadesh.word
English,Verb,TO PUSH,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,107,NA,40,8.06,0.04,1.07,0.0676586484738147,-2.17487997304236,4.99030768129771,swadesh.word
English,Verb,TO RAIN,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,14,NA,19,2.39,0.03,0.14,-1.96611285637283,-4.20865147788901,-0.67969231870229,swadesh.word
English,Adj.,RED,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,126,NA,14,2.26,0.04,1.26,0.231111720963387,-2.01142690055279,-0.80969231870229,swadesh.word
English,Adj.,RIGHT (CORRECT),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,52,NA,25,3.91,0.03,0.52,-0.653926467406664,-2.89646508892284,0.84030768129771,swadesh.word
English,Adj.,RIGHT (HAND),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1000,NA,18,2.61,0.03,10,2.30258509299405,0.0600464714778677,-0.45969231870229,swadesh.word
English,Noun,RIVER,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,114,NA,23,3.69,0.03,1.14,0.131028262406404,-2.11151035910977,0.62030768129771,swadesh.word
English,Noun,ROAD,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,313,NA,31,4.86,0.03,3.13,1.14103300455206,-1.10150561696412,1.79030768129771,swadesh.word
English,Noun,ROOT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,45,NA,13,1.75,0.04,0.45,-0.798507696217772,-3.04104631773395,-1.31969231870229,swadesh.word
English,Noun,ROPE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,22,NA,35,6.09,0.03,0.22,-1.51412773262978,-3.75666635414595,3.02030768129771,swadesh.word
English,Adj.,ROTTEN (LOG),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,8,NA,32,4.76,0.03,0.08,-2.52572864430826,-4.76826726582443,1.69030768129771,swadesh.word
English,Verb,RUB,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,23,NA,27,3.57,0.03,0.23,-1.46967597005894,-3.71221459157512,0.50030768129771,swadesh.word
English,Noun,SALT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,33,NA,10,1.01,0.03,0.33,-1.10866262452161,-3.35120124603779,-2.05969231870229,swadesh.word
English,Noun,SAND,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,34,NA,27,4.26,0.03,0.34,-1.07880966137193,-3.32134828288811,1.19030768129771,swadesh.word
English,Verb,TO SAY,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,3344,NA,26,3.64,0.03,33.44,3.5097527882165,1.26721416670032,0.57030768129771,swadesh.word
English,Verb,SCRATCH (ITCH),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,12,NA,23,4.44,0.04,0.12,-2.12026353620009,-4.36280215771627,1.37030768129771,swadesh.word
English,Noun,SEA (OCEAN),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,139,NA,15,2.53,0.04,1.39,0.3293037471426,-1.91323487437358,-0.53969231870229,swadesh.word
English,Verb,TO SEE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1920,NA,20,2.63,0.03,19.2,2.95491027903374,0.712371657517558,-0.43969231870229,swadesh.word
English,Noun,SEED,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,32,NA,14,2.56,0.04,0.32,-1.13943428318836,-3.38197290470454,-0.50969231870229,swadesh.word
English,Verb,TO SEW,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,8,NA,13,1.71,0.04,0.08,-2.52572864430826,-4.76826726582443,-1.35969231870229,swadesh.word
English,Adj.,SHARP (KNIFE),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,44,NA,24,3.76,0.03,0.44,-0.82098055206983,-3.06351917358601,0.69030768129771,swadesh.word
